influence_length_m,mean_error_m,mean_absolute_error_m,rmse_m,maximum_absolute_error_m
5.0,-0.5176126533755405,0.8737228003113072,1.3886389270624353,3.695337213354893
8.0,-0.5177430541276061,0.8738810727418159,1.390452284822258,3.717046878878481
10.0,-0.5177431217884408,0.8742966509119258,1.393777909921644,3.7580855652870966
12.0,-0.517744027934155,0.876005148701782,1.399267242106685,3.801369234571496
15.0,-0.5178205952468251,0.8826097301076921,1.4101943191172925,3.8511167594055458
18.0,-0.5185198857010881,0.8931047943371311,1.421694355354096,3.883072985079984
22.0,-0.5215699563139629,0.908766332571862,1.434774079300222,3.9075006620132804
25.0,-0.525035793282947,0.9190216239052783,1.4422311937989403,3.916809011665052
30.0,-0.5305190121825748,0.932936905628485,1.4505763218594472,3.921695557125542
40.0,-0.5345187091251685,0.9484946715272826,1.4572133890333325,3.9146407889501447
