x_m,true_rockhead_depth_m,geophysical_rockhead_depth_m,baseline_interpolated_depth_m,integrated_rockhead_depth_m,integrated_error_m
1.0,18.358557254182134,,18.425664865576664,18.411409845965814,0.052852591783679514
3.0,19.06414743012319,,19.323059304212137,19.304601338703282,0.2404539085800934
5.0,19.735535076926123,,20.059624362476132,20.0362938957925,0.30075881886637745
7.0,20.351141305268317,,20.645681832222156,20.61671931040009,0.265578005131772
9.0,20.891180166138327,,21.09155350530372,21.056103190287086,0.16492302414875937
11.0,21.33829468142132,,21.407561173574337,21.36466672208867,0.02637204066735066
13.0,21.67811490600318,,21.604026628887514,21.552629355896034,-0.1254855501071468
15.0,21.899720181235654,,21.691271663096764,21.630212582029934,-0.26950759920572054
17.0,21.995990899431117,,21.679618068055596,21.607644929544783,-0.3883459698863341
19.0,21.963838786542524,,21.579387635617522,21.495168230024923,-0.46867055651760126
21.0,21.804308835764463,,21.400902157636047,21.303045051275248,-0.5012637844892147
23.0,21.522550492033083,,21.15448342596469,21.04156701165278,-0.4809834803803028
25.0,21.12766039159257,,20.850453232456957,20.721063448713764,-0.40659694287880654
27.0,20.632403781506348,,20.499133368966355,20.35190966651035,-0.2804941149959994
29.0,20.05282652936592,,20.110845627346396,19.94453377658491,-0.10829275278101136
31.0,19.407774175450605,,19.695911799450595,19.509421046870944,0.10164687142033912
33.0,18.71833848294747,19.264653677132458,19.264653677132458,19.05711474927003,0.3387762663225615
35.0,18.00725499525886,18.70310147534281,18.70310147534281,18.473921218509417,0.46666622325055584
37.0,17.298276675113666,18.152366380446068,18.152366380446068,17.901274628436127,0.6029979533224612
39.0,16.615548144783872,17.622830528751077,17.622830528751077,17.349915250648976,0.734367105865104
41.0,15.983001739194274,17.053596978975296,17.053596978975296,16.75932487977739,0.7763231405831181
43.0,15.423790078932361,16.502786851301913,16.502786851301913,16.188008219430028,0.7642181404976665
45.0,14.95976017439396,15.9321152467678,15.9321152467678,15.598053664772008,0.6382934903780484
47.0,14.610961950065485,15.523292617526725,15.523292617526725,15.17152181062749,0.5605598605620052
49.0,14.395171311283834,15.300115315283492,15.300115315283492,14.932526577051474,0.5373552657676406
51.0,14.327397344639444,15.226117740537807,15.226117740537807,14.844881837431835,0.5174844927923914
53.0,14.419338681414178,15.294038699992084,15.294038699992084,14.90156587208553,0.48222719067135245
55.0,14.678759375543535,15.542371088261794,15.542371088261794,15.14127184171526,0.4625124661717255
57.0,15.108772849203033,15.909756443259194,15.909756443259194,15.502804486370895,0.3940316371678616
59.0,15.707054264560615,16.432420564312228,16.432420564312228,16.022517735274636,0.3154634707140218
61.0,16.465044296511614,16.968908427589497,16.968908427589497,16.55905005986175,0.0940057633501361
63.0,17.36725374941495,17.772552458480057,17.772552458480057,17.36579056558221,-0.0014631838327403557
65.0,18.39081808815712,18.845557406856997,18.845557406856997,18.44495854738452,0.054140459227401294
67.0,19.505471104249988,20.051821197989334,20.051821197989334,19.660416071678277,0.154944967428289
69.0,20.67409606294943,21.134400377879444,21.134400377879444,20.755123213572332,0.08102715062290144
71.0,21.85396397616184,22.10490799962724,22.10490799962724,21.740525627761546,-0.11343834840029388
73.0,22.99868331632552,23.272473869654288,23.272473869654288,22.92550685411831,-0.07317646220720775
75.0,24.060774385794563,,23.27155111542667,22.94419205634793,-1.1165823294466328
77.0,24.99466433426615,,23.265091835833363,22.959128337152585,-2.0355359971135663
79.0,25.75980025433455,,23.247559505508665,22.96431062395668,-2.795489630377869
81.0,26.323521976899315,,23.21341759908688,22.953692273347556,-3.3698297035517584
83.0,26.663340052219908,,23.157129591202324,22.921213386898135,-3.7421266653217735
85.0,26.76833244775228,,23.07315895648929,22.860831785739,-3.9075006620132804
87.0,26.639495591261515,,22.955969169582094,22.7665522779491,-3.8729433133124154
89.0,26.28903847639607,,22.800023705115038,22.632450220104204,-3.6565882562918652
91.0,25.738761999239433,,22.599786037722424,22.452686659484293,-3.28607533975514
93.0,25.017788867975057,,22.34971964203856,22.221514106032778,-2.7962747619422785
95.0,24.15997922843529,,22.044287992697758,21.933273682884987,-2.2267055455503026
97.0,23.201373390275542,,21.677954564334314,21.582385618706635,-1.6189877715689072
99.0,22.177950154250976,,21.24518283158254,21.163335593572523,-1.014614560678453
101.0,21.123894054910217,,20.74043626907674,20.67065938932024,-0.45323466558997794
103.0,20.070451331015732,,20.158178351451216,20.098927826520914,0.028476495505181276
105.0,19.045347279445824,,19.492872553340277,19.44273332765318,0.39738604820735546
107.0,18.07265636021429,,18.738982349378233,18.696678817454536,0.6240224572402475
109.0,17.17297172794546,,17.890971214199382,17.855369166536935,0.682397438591476
111.0,16.363713837955814,,16.943302622438033,16.913405040962825,0.5496912030070114
113.0,15.659441487952332,,15.89044004872849,15.86537882784442,0.2059373398920883
115.0,15.07207144659233,,14.72684696770506,14.705872230951334,-0.36619921564099656
117.0,14.610961950065485,,13.446986854002049,13.429455131597951,-1.1815068184675344
119.0,14.282860039085463,,12.045323182253764,12.030685354815844,-2.252174684269619
