x_m,true_rockhead_depth_m,estimated_rockhead_depth_m,rockhead_error_m,valid_estimate
1.0,18.358557254182134,,,False
3.0,19.06414743012319,,,False
5.0,19.735535076926123,,,False
7.0,20.351141305268317,,,False
9.0,20.891180166138327,,,False
11.0,21.33829468142132,,,False
13.0,21.67811490600318,,,False
15.0,21.899720181235654,,,False
17.0,21.995990899431117,,,False
19.0,21.963838786542524,,,False
21.0,21.804308835764463,,,False
23.0,21.522550492033083,,,False
25.0,21.12766039159257,,,False
27.0,20.632403781506348,,,False
29.0,20.05282652936592,,,False
31.0,19.407774175450605,,,False
33.0,18.71833848294747,,,False
35.0,18.00725499525886,19.480142714966743,1.472887719707881,True
37.0,17.298276675113666,18.947288090066266,1.6490114149526,True
39.0,16.615548144783872,18.494089951290967,1.8785418065070942,True
41.0,15.983001739194274,18.05209416105129,2.0690924218570164,True
43.0,15.423790078932361,17.61643868635925,2.1926486074268876,True
45.0,14.95976017439396,17.05950618954888,2.0997460151549205,True
47.0,14.610961950065485,16.46529228978886,1.854330339723374,True
49.0,14.395171311283834,16.164629632536094,1.7694583212522605,True
51.0,14.327397344639444,16.097150113572056,1.7697527689326122,True
53.0,14.419338681414178,16.191427294829698,1.7720886134155194,True
55.0,14.678759375543535,16.4185800736558,1.7398206981122648,True
57.0,15.108772849203033,16.693302370990267,1.5845295217872337,True
59.0,15.707054264560615,17.049414067479827,1.342359802919212,True
61.0,16.465044296511614,17.631392812472942,1.166348515961328,True
63.0,17.36725374941495,18.488165143448754,1.1209113940338042,True
65.0,18.39081808815712,19.67278195624291,1.2819638680857928,True
67.0,19.505471104249988,20.871860614932654,1.3663895106826658,True
69.0,20.67409606294943,21.873927947071422,1.1998318841219913,True
71.0,21.85396397616184,22.876112961520015,1.022148985358175,True
73.0,22.99868331632552,,,False
75.0,24.060774385794563,,,False
77.0,24.99466433426615,,,False
79.0,25.75980025433455,,,False
81.0,26.323521976899315,,,False
83.0,26.663340052219908,,,False
85.0,26.76833244775228,,,False
87.0,26.639495591261515,,,False
89.0,26.28903847639607,,,False
91.0,25.738761999239433,,,False
93.0,25.017788867975057,,,False
95.0,24.15997922843529,,,False
97.0,23.201373390275542,,,False
99.0,22.177950154250976,,,False
101.0,21.123894054910217,,,False
103.0,20.070451331015732,,,False
105.0,19.045347279445824,,,False
107.0,18.07265636021429,,,False
109.0,17.17297172794546,,,False
111.0,16.363713837955814,,,False
113.0,15.659441487952332,,,False
115.0,15.07207144659233,,,False
117.0,14.610961950065485,,,False
119.0,14.282860039085463,,,False
